ID,Wahlbeteiligung,SPD,Gruen,CDU,LINKE,AfD,FDP,PMUT,FW,Volt,MLPD,BSW
03106,0.639648777,0.104722479,0.033404041,0.102635505,0.168636832,0.390918237,0.010842919,0.031282804,0.013503032,0.007980339,0.003737864,0.117586960
03107,0.736887456,0.145892902,0.033990881,0.111685468,0.161456683,0.374156344,0.021330521,0.030305461,0.008281167,0.007370840,0.000000000,0.092436267
03108,0.720747388,0.159953555,0.049038628,0.141901760,0.135853493,0.333645774,0.024645017,0.021786549,0.005934916,0.006333096,0.000000000,0.104875380
03109,0.846884702,0.122004421,0.062216975,0.181632500,0.141603272,0.315553647,0.029395025,0.019379858,0.004480698,0.007423019,0.000809843,0.101545857
03110,0.802402321,0.123258733,0.075197269,0.160373849,0.169591712,0.291712625,0.031568516,0.031167125,0.007021632,0.010610224,0.001278144,0.081850143
03111,0.858788617,0.138207167,0.091412004,0.195396090,0.151876155,0.247068460,0.032776032,0.019589393,0.004356641,0.006037119,0.000482350,0.099510730
03112,0.802010802,0.139832914,0.102318582,0.192374479,0.126843951,0.254685674,0.052574640,0.019067937,0.005803345,0.012124870,0.000000000,0.081143470
03113,0.865116279,0.104651163,0.094573643,0.230232558,0.162015504,0.241085271,0.031782946,0.017829457,0.002325581,0.006201550,0.000000000,0.096124031
03114,0.882234172,0.146431255,0.111992155,0.221055714,0.130491117,0.225433817,0.034365146,0.011714382,0.002965573,0.007673512,0.000000000,0.094494536
03115,0.879925702,0.127048670,0.125352798,0.237114183,0.151720675,0.181975129,0.043591730,0.013921301,0.009181901,0.007156140,0.000000000,0.091008946
03116,0.809579948,0.107973776,0.081899361,0.163078189,0.167618244,0.301336483,0.019619937,0.030046671,0.011892284,0.011467893,0.000488516,0.085126600
03117,0.786293302,0.091115085,0.088794448,0.150736854,0.146955030,0.336870410,0.021424256,0.028637802,0.008541014,0.012790855,0.000442489,0.090188775
03118,0.880969875,0.125944584,0.139378673,0.211586902,0.141057935,0.202350966,0.053736356,0.013434089,0.004198153,0.006717045,0.000000000,0.089000840
03119,0.822486059,0.111131918,0.079319886,0.212908256,0.161815625,0.276367986,0.037850357,0.013991332,0.004628108,0.008170846,0.000470072,0.078414137
03120,0.865860792,0.121393238,0.133601241,0.208953115,0.123786155,0.222297808,0.043100750,0.020262634,0.004149026,0.015415946,0.000000000,0.092078382
03121,0.878938094,0.120184875,0.139709191,0.234809195,0.131614790,0.205834594,0.039709191,0.013769479,0.003392777,0.020154199,0.000912103,0.076624811
03122,0.897396631,0.124356775,0.096912521,0.234991424,0.149228130,0.207547170,0.042024014,0.011149228,0.001715266,0.011149228,0.000000000,0.108061750
03123,0.869481858,0.099701774,0.091313423,0.230675702,0.141576202,0.243127532,0.046183459,0.016966807,0.006891280,0.006816031,0.000411893,0.103939515
03124,0.900824586,0.106760887,0.124117002,0.226811010,0.153228014,0.184590311,0.044719336,0.014838643,0.004095757,0.005136647,0.000000000,0.115693202
03125,0.890585568,0.117982198,0.100044879,0.213114589,0.130407308,0.265845839,0.028923499,0.018374029,0.008774454,0.009187015,0.000000000,0.093784024
03126,0.818386680,0.125172634,0.097969198,0.219339523,0.126270029,0.239734635,0.045443574,0.018981688,0.006708787,0.010588238,0.001097394,0.102418498
03200,0.891002195,0.147229115,0.154673284,0.247311828,0.125723739,0.189412738,0.038875103,0.012406948,0.006617039,0.010752688,0.000000000,0.058726220
03201,0.850717632,0.102993322,0.048120678,0.186543349,0.112907039,0.406063471,0.046332959,0.010150109,0.001329709,0.003723184,0.000531883,0.073296495
03202,0.847321434,0.100918293,0.109917054,0.190454524,0.130662593,0.307629809,0.038363901,0.029256808,0.006257967,0.008717099,0.000852210,0.064648806
03203,0.805689293,0.115460003,0.070034857,0.177906311,0.135302801,0.304729389,0.028613818,0.022879205,0.006341895,0.010044830,0.001031885,0.109994470
03204,0.815401223,0.106325230,0.072740010,0.186414087,0.136860638,0.295261738,0.023692643,0.035937171,0.008145262,0.008145262,0.000000000,0.102662792
03205,0.838769255,0.125335856,0.102089970,0.196367846,0.118178613,0.256170059,0.039798986,0.017101227,0.007903448,0.011345038,0.000000000,0.107762488
03206,0.839972527,0.152459016,0.119672131,0.233606557,0.114754098,0.225409836,0.045901639,0.011475410,0.003278689,0.007377049,0.000000000,0.072950820
03207,0.849040867,0.132149901,0.107495069,0.169625247,0.163708087,0.246548323,0.040433925,0.022682446,0.006903353,0.008875740,0.000000000,0.084812623
03208,0.823670273,0.145361303,0.103048912,0.188098333,0.179523228,0.219793429,0.029706476,0.012181275,0.004360068,0.006048174,0.000000000,0.098009420
03209,0.819493714,0.145908945,0.158857713,0.158803522,0.172329851,0.186917181,0.042544119,0.013998360,0.004841527,0.008613498,0.001078113,0.089414952
03210,0.875989087,0.134949981,0.169876627,0.202514719,0.170812991,0.155152092,0.047186124,0.013453116,0.007015245,0.013025321,0.000000000,0.070122535
03211,0.881588448,0.140394089,0.155993432,0.221674877,0.140394089,0.175697865,0.039408867,0.009852217,0.000821018,0.008210181,0.000821018,0.089490969
